Age,Department,First Name,ID,Last Name,Salary,State,Zip
61,Sales,Johanna,1,Chambers,$46250,DE,88421
56,Tech Support,Gene,2,Collins,$15950,CO,81542
65,SE,Jordan,3,Wood,$93600,ME,47120
25,Sales,Viola,4,Greer,$80250,MI,21882
19,Product Manager,Jeffery,5,Rodgers,$59200,SD,48575
55,Dev Manager,Gerald,6,Daniels,$57200,MA,52361
27,Product Manager,Leon,7,Cook,$71200,OR,62394
55,Tech Support,Grace,8,Joseph,$28750,OH,53861
64,HR,Teresa,9,Welch,$60200,MD,03428
42,Tech Support,Wesley,10,Copeland,$34350,IN,69382
56,Tech Support,Rena,11,Shelton,$27150,DC,85628
19,Sales,Bill,12,Greene,$54250,SD,85510
56,Sales,Minnie,13,Hines,$98250,PA,59086
61,Sales,Gavin,14,Armstrong,$138250,SD,87396
47,SE,Elizabeth,15,Dunn,$63600,ND,03468
64,SE,Maude,16,Saunders,$30600,TX,72606
63,Sales,Wesley,17,Guzman,$108250,KY,75090
36,Tech Support,Thomas,18,Gibson,$2750,FL,00340
20,QA,Amelia,19,Howell,$39340,WY,02660
29,Tech Support,Cora,20,Alexander,$29950,RI,34782
31,SE,Olga,21,Phelps,$41100,NY,12883
24,Tech Support,Tom,22,Norris,$25550,AK,07179
24,QA,Jimmy,23,Stephens,$17510,RI,65179
46,Executive,Shawn,24,Logan,$28200,MS,51133
33,Product Manager,Lizzie,25,Goodman,$48200,LA,57301
35,HR,Cordelia,26,Richards,$25200,RI,61168
64,QA,George,27,Hamilton,$29310,IL,22290
35,Tech Support,Nancy,28,Chapman,$21550,RI,18388
41,SE,Nellie,29,Rivera,$6600,CA,72791
49,Tech Support,Lelia,30,Wheeler,$35150,RI,66779
27,SE,Beatrice,31,Perkins,$134100,WA,05194
43,Tech Support,Nell,32,Reeves,$10350,AR,73410
27,QA,Adam,33,Houston,$21640,FL,61836
32,SE,Bernice,34,Knight,$84600,VA,92188
63,Sales,Theodore,35,Leonard,$60250,OR,64562
35,Executive,Martha,36,Medina,$53200,AL,33454
43,Tech Support,Alex,37,Stephens,$10750,IN,49111
65,SE,Abbie,38,Ward,$20100,ND,31492
60,Tech Support,Mary,39,Palmer,$14750,AZ,41132
60,Sales,Julian,40,Holloway,$58250,MO,40228
47,SE,Juan,41,Lyons,$2100,WA,28071
56,Tech Support,Andrew,42,Fuller,$2750,NJ,10669
49,QA,Gabriel,43,Campbell,$24590,WA,10413
28,QA,Lloyd,44,Tran,$48780,IA,52822
26,SE,Helen,45,Padilla,$93600,IN,57372
42,SE,Bessie,46,Keller,$56100,MT,97739
50,Sales,Lottie,47,Daniels,$164250,RI,78654
25,Executive,Eliza,48,Walsh,$17200,MA,07686
36,Dev Manager,Elmer,49,Dennis,$41200,OR,10756
54,QA,Jesus,50,Williamson,$46420,WA,25681
47,SE,Ella,51,Wagner,$600,NY,41311
64,SE,Wesley,52,Lopez,$126600,HI,53139
60,QA,Aaron,53,Howard,$22230,ME,39009
52,Sales,Carrie,54,Jimenez,$166250,WA,69075
35,Sales,Lawrence,55,Potter,$88250,KY,78328
43,SE,Gertrude,56,Lawson,$42600,CT,06228
51,QA,Nora,57,Higgins,$49960,VA,29128
43,SE,Cecelia,58,Palmer,$137100,HI,64632
41,HR,Matthew,59,Ramsey,$20200,HI,31912
57,SE,Leo,60,Patton,$98100,DC,76413
31,QA,Isabel,61,Stanley,$24000,MA,22071
40,Sales,Essie,62,Bridges,$118250,VT,63623
38,Tech Support,Jane,63,Gibson,$15950,CO,51624
64,Sales,Rose,64,Hopkins,$116250,KS,21478
40,Tech Support,Trevor,65,Stone,$28350,PA,77316
38,SE,Shane,66,Bridges,$57600,IL,88465
44,Dev Manager,Augusta,67,Mullins,$31200,WY,71378
29,Tech Support,Helena,68,Chapman,$16350,WV,51874
64,SE,Carlos,69,Beck,$23100,FL,89811
22,Product Manager,Beulah,70,Peterson,$11200,KS,70279
63,Sales,Douglas,71,Wade,$174250,ID,83766
37,SE,Lina,72,Munoz,$93600,MO,39081
49,Sales,Milton,73,Gilbert,$90250,TX,58845
49,Sales,Mable,74,Mann,$12250,UT,21751
47,QA,James,75,Higgins,$22820,NH,28338
57,SE,Clayton,76,McCarthy,$65100,KY,45554
32,Sales,Maria,77,Allison,$70250,DE,67381
52,Sales,Jerome,78,Manning,$164250,KY,40017
27,SE,Birdie,79,Patton,$68100,WI,63192
46,QA,Lilly,80,Tucker,$20460,PA,10768
61,QA,Bernice,81,Cunningham,$11610,KS,82870
33,Executive,Estella,82,Berry,$15200,HI,19981
19,SE,Lora,83,Wilkins,$39600,UT,85433
42,QA,Henry,84,Cox,$25770,IA,63856
47,QA,Hester,85,Richardson,$42290,MT,19302
59,Tech Support,Pauline,86,Miller,$21550,CA,78951
23,Dev Manager,Ellen,87,Johnston,$23200,KY,43610
40,SE,Adrian,88,Briggs,$99600,TX,70646
29,QA,Elsie,89,Cooper,$24000,RI,27792
34,SE,Chris,90,Holmes,$47100,IA,91636
64,Sales,Eula,91,Yates,$14250,ND,88963
54,QA,Mildred,92,Lane,$23410,LA,60032
31,QA,Gordon,93,Gill,$16920,ME,96279
33,HR,Adele,94,Underwood,$93200,CT,38103
30,Sales,Ophelia,95,Dixon,$156250,NV,03091
25,SE,Bess,96,Salazar,$135600,HI,53040
65,Tech Support,Elijah,97,Rivera,$26750,SD,96827
55,Tech Support,Aiden,98,Hines,$15950,MD,70812
43,Dev Manager,Dylan,99,Rogers,$71200,CA,36874
57,Product Manager,Mabelle,100,Parks,$45200,WA,45791
41,Sales,Jennie,101,Rivera,$20250,KS,43820
18,SE,Pauline,102,Ray,$20100,OR,36647
44,Tech Support,Leon,103,Morgan,$23150,AL,27116
30,Sales,Lina,104,Patton,$116250,TN,23469
41,Dev Manager,Mae,105,Grant,$27200,UT,48206
30,SE,Jennie,106,Maxwell,$128100,NH,63283
63,HR,Noah,107,Arnold,$71200,ME,21967
32,Tech Support,Eula,108,Strickland,$25550,MS,88910
58,Project Manager,Bessie,109,Coleman,$58200,NH,68397
42,Dev Manager,Lenora,110,Fleming,$37200,HI,45623
44,Tech Support,Minerva,111,Franklin,$2750,KS,51795
47,Product Manager,Edwin,112,Lawson,$81200,GA,37418
59,Dev Manager,Marie,113,Cole,$41200,MA,97343
56,Sales,Maurice,114,Ferguson,$70250,TN,60635
